No,Kode Provinsi,Provinsi,Kd-Provinsi,Kode Kabupaten,Kabupaten,Kd-Kabupaten,Kode Kecamatan,Kecamatan,Kd-Kecamatan,Kode Nagari,Nagari,Kd-Nagari,Nomor BS,NKS,Kode SLS,Nama SLS,Nama Pengentri,Tanggal Diterima,Tanggal Entri,Tanggal Selesai Entri,Status Dokumen,Jumlah Keluarga Sebelum Pemutakhiran,Jumlah Keluarga Hasil Pemutakhiran,Jumlah Rumah Tangga Hasil Pemutakhiran
1,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,010,SUNGAI RUMBAI,010 SUNGAI RUMBAI,005,SUNGAI RUMBAI,005 SUNGAI RUMBAI,003B,250003,1311010005003B,JORONG TANAH ABANG,,,,,Error,,,
2,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,010,SUNGAI RUMBAI,010 SUNGAI RUMBAI,005,SUNGAI RUMBAI,005 SUNGAI RUMBAI,014B,150014,1311010005014B,JORONG SUNGAI BAYE,Andrian/Rini,07/02/2025,07/02/2025,07/02/2025,Clean,121,135,129
3,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,010,SUNGAI RUMBAI,010 SUNGAI RUMBAI,007,SUNGAI RUMBAI TIMUR,007 SUNGAI RUMBAI TIMUR,004B,150031,1311010007004B,JORONG BALAI TIMUR,,,,,Error,,,
4,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,010,SUNGAI RUMBAI,010 SUNGAI RUMBAI,008,KURNIA SELATAN,008 KURNIA SELATAN,003B,200003,1311010008003B,JORONG KOTO MUDIK,Ferawati,05/02/2025,07/02/2025,07/02/2025,Clean,130,131,131
5,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,010,SUNGAI RUMBAI,010 SUNGAI RUMBAI,008,KURNIA SELATAN,008 KURNIA SELATAN,011B,100011,1311010008011B,JORONG RANAH TALAGO,Andrian/Rini,05/02/2025,06/02/2025,06/02/2025,Clean,87,89,89
6,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,011,KOTO BESAR,011 KOTO BESAR,001,KOTO GADANG,001 KOTO GADANG,003B,150039,1311011001003B,JORONG RANAH JAYA,Wulan,06/02/2025,06/02/2025,06/02/2025,Clean,150,164,159
7,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,011,KOTO BESAR,011 KOTO BESAR,001,KOTO GADANG,001 KOTO GADANG,011B,250047,1311011001011B,JORONG RANAH MAKMUR,,,,,Error,,,
8,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,011,KOTO BESAR,011 KOTO BESAR,002,KOTO TINGGI,002 KOTO TINGGI,003B,100020,1311011002003B,JORONG GUGUAK TINGGI,Andrian/Galuh,07/02/2025,07/02/2025,07/02/2025,Clean,67,74,74
9,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,011,KOTO BESAR,011 KOTO BESAR,003,BONJOL,003 BONJOL,008B,100033,1311011003008B,JORONG BARU,Wulan,07/02/2025,07/02/2025,07/02/2025,Clean,105,107,106
10,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,011,KOTO BESAR,011 KOTO BESAR,004,ABAI SIAT,004 ABAI SIAT,008B,100043,1311011004008B,"JORONG RUMAH NAN AMPEK , JORONG RANAH BARU                                                                                                                                                                                                                    ",Wulan,06/02/2025,06/02/2025,06/02/2025,Clean,102,100,95
11,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,011,KOTO BESAR,011 KOTO BESAR,005,KOTO BESAR,005 KOTO BESAR,004B,100052,1311011005004B,JORONG KOTO DIBAWUAH,Andrian/Galuh,07/02/2025,07/02/2025,,Error,,,
12,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,011,KOTO BESAR,011 KOTO BESAR,007,KOTO RANAH,007 KOTO RANAH,008B,100068,1311011007008B,JORONG CENDANA,Friti,07/02/2025,07/02/2025,07/02/2025,Clean,108,120,112
13,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,011,KOTO BESAR,011 KOTO BESAR,007,KOTO RANAH,007 KOTO RANAH,010B,200070,1311011007010B,JORONG SUNGAI NABUHAN,,,,,Error,,,
14,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,012,ASAM JUJUHAN,012 ASAM JUJUHAN,001,LUBUK BESAR,001 LUBUK BESAR,008B,200080,1311012001008B,JORONG LUBUK BESAR,Andrian/Galuh,11/02/2025,11/02/2025,11/02/2025,Clean,89,125,125
15,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,012,ASAM JUJUHAN,012 ASAM JUJUHAN,004,SINAMAR,004 SINAMAR,010B,100109,1311012004010B,JORONG SUNGAI BERAWAN,Ferawati,08/02/2025,08/02/2025,,Error,,,
16,13,SUMATERA BARAT,13 SUMATERA BARAT,11,DHARMASRAYA,11 DHARMASRAYA,020,KOTO BARU,020 KOTO BARU,001,AMPANG KURANJI,001 AMPANG KURANJI,002B,100113,1311020001002B,JORONG PASA BANDA,Ferawati,08/02/2025,08/02/2025,08/02/2025,Clean,121,127,126
